"id","ma","ten","ma_cha","last_update","trang_thai"
523,TMĐU,"Cơ quan tham mưu, giúp việc ĐUTCT",BOM,"2026-06-05 02:26:01.118967",
382,LED-BH,Phòng Bảo hiểm,LED,"2026-06-05 02:26:01.118967",
501,FTC-BGĐ,Ban Giám đốc,FTC,"2026-06-05 02:26:01.118967",
543,DEB-MUC,Sân bay Munich (MUC),DEB,"2026-06-05 02:26:01.118967",
495,VNB-BGĐ,Ban Giám đốc,VNB,"2026-06-05 02:26:01.118967",
513,IAD-LĐ,Lãnh đạo Ban,IAD,"2026-06-05 02:26:01.118967",
274,FAD-KTTH,Phòng Kế toán tổng hợp,FAD,"2026-06-05 02:26:01.118967",
300,CAD-TH,Phòng Tổng hợp,CAD,"2026-06-05 02:26:01.118967",
384,MYB,Chi nhánh TCTHKVN - CTCP tại Malaysia,TM,"2026-06-05 02:26:01.118967",
497,PSD-LĐB,Lãnh đạo Ban,PSD,"2026-06-05 02:26:01.118967",
337,FCD-ATCL,Phòng An toàn - Chất lượng,FCD,"2026-06-05 02:26:01.118967",
509,CPD-LĐ,Lãnh đạo Ban,CPD,"2026-06-05 02:26:01.118967",
496,CCD-LĐ,Lãnh đạo Đoàn,CCD,"2026-06-05 02:26:01.118967",
511,FAD-LĐ,Lãnh đạo Ban,FAD,"2026-06-05 02:26:01.118967",
308,CCD-KT,Phòng Kế toán,CCD,"2026-06-05 02:26:01.118967",
351,GLC-ĐBHĐ,Phòng Đảm bảo Hoạt động,GLC,"2026-06-05 02:26:01.118967",
315,CCD-TCHC,Phòng Tổ chức - Hành chính,CCD,"2026-06-05 02:26:01.118967",
517,VAS-BGĐ,Ban Giám đốc,VAS,"2026-06-05 02:26:01.118967",
506,MSD-LĐB,Lãnh đạo Ban,MSD,"2026-06-05 02:26:01.118967",
514,IPD-LĐ,Lãnh đạo Ban,IPD,"2026-06-05 02:26:01.118967",
450,VAS-TCKT,Phòng Tài chính - Kế toán,VAS,"2026-06-05 02:26:01.118967",
339,FCD-B787,Đội bay Boeing 787,FCD,"2026-06-05 02:26:01.118967",
483,INB,Chi nhánh TCTHKVN - CTCP tại Ấn Độ,TM,"2026-06-05 02:26:01.118967",
338,FCD-ATR72,Đội bay ATR72,FCD,"2026-06-05 02:26:01.118967",
292,BNĐ,Bán Nội Địa,BOM,"2026-06-05 02:26:01.118967",
